           asn  hosts
1374   AS17993     3
861    AS28080     3
237   AS271874     3
1370   AS53160     3
1368  AS262444     3
2091   AS52253     3
866    AS50616     3
1868   AS52360     3
1008  AS265061     3
2092   AS15440     3
611   AS198279     3
1358   AS31143     3
1354  AS136873     3
606    AS41327     3
257   AS134226     3
873   AS265741     3
600    AS36974     3
261   AS206611     3
1344   AS58765     3
2036    AS6412     3
1338  AS263361     3
1337  AS139043     3
2214  AS207786     3
225   AS137083     3
1388  AS262901     3
1415   AS53191     3
637   AS138881     3
1431   AS45942     3
1430   AS26479     3
2088  AS264120     3
1428  AS265657     3
2042   AS49588     3
836   AS213295     3
1424   AS52322     3
1848  AS133711     3
842   AS212905     3
202   AS266166     3
844    AS41371     3
1416   AS30844     3
207    AS29614     3
620    AS53246     3
2216  AS135810     3
2089  AS265126     3
1820  AS210402     3
1852   AS28142     3
1409   AS38794     3
213   AS262807     3
1406   AS52999     3
848   AS265862     3
850    AS28310     3
1398   AS53118     3
624    AS36902     3
621    AS38091     3
1862   AS61689     3
648   AS263250     3
1531   AS11081     3
813    AS56264     3
1633  AS135239     3
1655  AS138172     3
746   AS138910     3
1653  AS135738     3
705   AS131464     3
704   AS133661     3
2060   AS28073     3
1749  AS265495     3
51     AS61828     3
1753  AS262517     3
57     AS11432     3
1640   AS28100     3
1639  AS264619     3
1638   AS42652     3
2059   AS46198     3
688    AS52657     3
1605  AS137681     3
686     AS4007     3
1629  AS140151     3
1627   AS27742     3
684    AS28556     3
1623   AS28220     3
763    AS57388     3
1618   AS27729     3
1764  AS264746     3
766   AS211335     3
1765   AS59249     3
768    AS35916     3
771    AS34594     3
1609   AS61873     3
1772  AS263769     3
1660  AS133298     3
740    AS52747     3
1667  AS264485     3
2293  AS134788     3
1719  AS263432     3
7     AS267076     3
1710  AS142424     3
1709  AS262730     3
1721  AS204152     3
722    AS35444     3
1706   AS27895     3
1723   AS27813     3
2311  AS262469     3
1725  AS270961     3
2067   AS28038     3
12    AS263945     3
1729  AS266160     3
2069  AS262296     3
1693   AS11830     3
1692  AS135376     3
1691  AS264069     3
1730   AS20845     3
1689   AS35362     3
1731  AS264811     3
2064  AS328411     3
1684   AS53217     3
25     AS42082     3
732    AS52398     3
1736  AS266949     3
1677  AS265335     3
733   AS262732     3
734     AS4651     3
1739   AS28244     3
1606   AS59668     3
1774  AS262286     3
160   AS202561     3
151    AS28624     3
1798  AS262979     3
799   AS328594     3
130   AS265688     3
1541  AS140174     3
134    AS28634     3
150   AS138128     3
1803    AS3758     3
1532    AS3329     3
2191  AS267587     3
1530   AS42925     3
1805   AS52273     3
1806  AS135808     3
1807   AS10396     3
655    AS57293     3
1809  AS263824     3
1601   AS28131     3
152    AS61700     3
1519   AS52991     3
1518  AS263032     3
1514   AS10029     3
155    AS52436     3
1512  AS137239     3
654    AS49571     3
1814   AS28201     3
1815  AS263725     3
1504   AS18229     3
156    AS61668     3
158    AS51784     3
1500   AS45235     3
1498  AS263328     3
660   AS141253     3
797   AS262664     3
796    AS50670     3
795   AS269857     3
1600  AS264635     3
2076   AS37014     3
1595  AS262785     3
2055   AS27984     3
86     AS50635     3
1589   AS58678     3
92    AS262868     3
673    AS45536     3
780    AS37424     3
781   AS262428     3
1781  AS141574     3
1582  AS264138     3
783   AS263601     3
1577    AS8301     3
100    AS63528     3
101   AS203622     3
2083  AS139831     3
1789  AS271795     3
1570  AS263656     3
1790  AS262146     3
107    AS52687     3
1565   AS13045     3
1563  AS264221     3
2265  AS266181     3
789   AS138225     3
662     AS5639     3
793    AS53764     3
1553  AS262159     3
1552   AS24554     3
1335   AS59362     3
867   AS135817     3
1882   AS60111     3
958   AS263238     3
551   AS269730     3
385   AS132298     3
949    AS28260     3
391    AS34187     3
950   AS266623     3
953   AS262311     3
1161   AS24157     3
954   AS132116     3
1158  AS141324     3
1157   AS14615     3
1153  AS199995     3
401    AS45754     3
405     AS8517     3
1942   AS53202     3
1124  AS263686     3
1148  AS132933     3
2155   AS53230     3
1146   AS28161     3
407    AS41544     3
1143   AS42571     3
2106   AS56293     3
535   AS268018     3
963   AS267878     3
2107   AS56262     3
422   AS269646     3
966   AS135632     3
529   AS204938     3
1127  AS263661     3
1174   AS37616     3
944   AS262493     3
943   AS265823     3
374   AS139088     3
1921  AS263631     3
358   AS327756     3
1219   AS53102     3
1218  AS262699     3
716   AS267798     3
1216  AS263699     3
359   AS206406     3
360    AS35104     3
1212  AS271724     3
1210  AS267832     3
1208   AS47956     3
361    AS24921     3
1206  AS265724     3
1204  AS268323     3
1203   AS55947     3
1201   AS44291     3
1194   AS52940     3
560    AS58965     3
935   AS133287     3
936   AS262611     3
2167  AS263805     3
366   AS328615     3
2164   AS44546     3
938    AS37303     3
1181    AS1351     3
1180  AS262688     3
2103  AS262729     3
968   AS209007     3
1123   AS52327     3
2023   AS12491     3
1036   AS58821     3
1065  AS266440     3
461     AS9230     3
1971   AS51407     3
463     AS7029     3
1057   AS27948     3
1056  AS265111     3
1055   AS38710     3
1050   AS58640     3
1046   AS58762     3
1998   AS52977     3
1040  AS202103     3
1038   AS27978     3
476    AS29238     3
479     AS3132     3
1949  AS268337     3
482   AS197792     3
1031  AS262300     3
1001  AS141432     3
1029  AS208905     3
1986  AS266050     3
1003  AS262327     3
1024   AS12883     3
1021   AS56568     3
1993  AS132220     3
1018   AS53196     3
507    AS57588     3
1015   AS39737     3
2126  AS137047     3
1067  AS267224     3
1969    AS6922     3
2004  AS269894     3
1070   AS49183     3
1951   AS27364     3
1952  AS142394     3
1116  AS211709     3
1114   AS11272     3
1113   AS23201     3
971    AS31287     3
431    AS20804     3
2108   AS47883     3
2006   AS16086     3
1105   AS37463     3
1104  AS197882     3
977    AS17924     3
979    AS15547     3
1097   AS24550     3
1096  AS262832     3
444   AS137132     3
1091   AS52765     3
1964   AS61468     3
447    AS59318     3
1086  AS262532     3
453   AS265348     3
1966   AS52973     3
985   AS205424     3
517    AS59276     3
988   AS135188     3
1074  AS134293     3
1071  AS263152     3
1920  AS138064     3
1176  AS266592     3
925    AS13156     3
1287  AS265080     3
2097  AS268268     3
1892  AS263790     3
1919   AS28265     3
1893  AS264160     3
907   AS132280     3
1275   AS61449     3
1274  AS209275     3
1895   AS52352     3
1896  AS132637     3
1899   AS47288     3
1269    AS8462     3
910    AS27845     3
911    AS27665     3
1265  AS266880     3
912    AS19331     3
